start_code,start_month_offset,income_code,income_krw_per_month,total_monthly_after_start_krw,p50_years,years_shortened_vs_baseline
Y0,0,I0,0.0,1500000.0,17.5,0.0
Y1,12,I0,0.0,1500000.0,17.5,0.0
Y1,12,I1,1000000.0,2500000.0,13.833333333333334,3.666666666666666
Y1,12,I2,2000000.0,3500000.0,11.583333333333334,5.916666666666666
Y1,12,I3,3000000.0,4500000.0,10.083333333333334,7.416666666666666
Y1,12,I4,5000000.0,6500000.0,8.083333333333334,9.416666666666666
Y2,24,I0,0.0,1500000.0,17.5,0.0
Y2,24,I1,1000000.0,2500000.0,14.166666666666666,3.333333333333334
Y2,24,I2,2000000.0,3500000.0,12.083333333333334,5.416666666666666
Y2,24,I3,3000000.0,4500000.0,10.75,6.75
Y2,24,I4,5000000.0,6500000.0,8.833333333333334,8.666666666666666
Y3,36,I0,0.0,1500000.0,17.5,0.0
Y3,36,I1,1000000.0,2500000.0,14.5,3.0
Y3,36,I2,2000000.0,3500000.0,12.666666666666666,4.833333333333334
Y3,36,I3,3000000.0,4500000.0,11.333333333333334,6.166666666666666
Y3,36,I4,5000000.0,6500000.0,9.583333333333334,7.916666666666666
