year,W1_4pct,W2_3.5pct,W3_3pct,W4_guardrails,W5_dividend_only
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,0.9998,1.0,1.0,1.0,1.0
13,0.9997,1.0,1.0,1.0,1.0
14,0.999,0.9998,1.0,1.0,1.0
15,0.9982,0.9996,1.0,1.0,1.0
16,0.9974,0.9992,0.9999,1.0,1.0
17,0.9963,0.9986,0.9997,1.0,1.0
18,0.995,0.9978,0.9993,1.0,1.0
19,0.9923,0.9971,0.9991,0.9998,1.0
20,0.9891,0.9961,0.9988,0.9997,1.0
21,0.9852,0.9954,0.9984,0.9991,1.0
22,0.9826,0.9932,0.9979,0.9987,1.0
23,0.9791,0.9907,0.9974,0.9982,1.0
24,0.976,0.9888,0.9964,0.9973,1.0
25,0.9731,0.9868,0.9954,0.9969,1.0
26,0.9698,0.9844,0.9947,0.9952,1.0
27,0.966,0.9818,0.9938,0.9937,1.0
28,0.9619,0.98,0.9922,0.9924,1.0
29,0.9579,0.9781,0.9907,0.9911,1.0
30,0.9542,0.9762,0.9898,0.9898,1.0
31,0.9512,0.9742,0.9884,0.9876,1.0
32,0.9474,0.9727,0.987,0.9847,1.0
33,0.9448,0.9709,0.9859,0.9823,1.0
34,0.9412,0.9682,0.985,0.9796,1.0
35,0.9387,0.9654,0.9836,0.9774,1.0
36,0.9354,0.9637,0.9823,0.9746,1.0
37,0.9325,0.9617,0.9812,0.9721,1.0
38,0.9302,0.9595,0.9801,0.9697,1.0
39,0.9277,0.9578,0.9788,0.9667,1.0
40,0.9241,0.9563,0.9779,0.9642,1.0
